Category,Name,Unit,ActualPrice,OfferPrice
One Sound Crackers,Kuruvi,Pkt,30,15
One Sound Crackers,"31/2"" Lakshmi",Pkt,50,25
One Sound Crackers,"4"" Lakshmi",Pkt,70,35
One Sound Crackers,"4"" Deluxe Lakshmi",Pkt,100,50
One Sound Crackers,Gold Lakshmi,Pkt,115,60
One Sound Crackers,2 Sound,Pkt,100,50
One Sound Crackers,"5"" Jallikattu",Pkt,275,140
One Sound Crackers,"6"" Lion",Pkt,375,190
One Sound Crackers,"7"" Golden Sparrow",Pkt,400,200
Thunder Crackers,28 Chorsa,Pkt,60,30
Thunder Crackers,28 Giant,Pkt,100,50
Thunder Crackers,56 Giant,Pkt,190,95
Deluxe Crackers,24 Deluxe,Pkt,200,100
Deluxe Crackers,50 Deluxe,Pkt,400,200
Deluxe Crackers,100 Deluxe,Pkt,800,400
Bijili Crackers,Red Bijili,Bag,150,75
Bijili Crackers,Stripped Bijili,Bag,160,80
Wala,100 Wala,Box,200,100
Wala,200 Wala,Box,400,200
Wala,1000 Wala,Box,650,350
Wala,2000 Wala,Box,1300,650
Wala,5000 Wala,Box,3250,1700
Wala,10000 Wala,Box,6500,3300
Bombs,Bullet Bomb,Box,100,50
Bombs,Hydro Bomb,Box,250,125
Bombs,King of King Bomb,Box,400,200
Bombs,Classic Bomb,Box,500,250
Bombs,Digital Bomb,Box,900,450
Bombs,555 Bomb,Box,450,225
Bombs,Paper Bomb 1/4 Kg,Box,200,100
Bombs,Paper Bomb 1/2 Kg,Box,400,200
Bombs,Paper Bomb 1 Kg,Box,800,400
Ropes & Candles,"1.5"" Twinkling Star",Box,90,45
Ropes & Candles,"4"" Twinkling Star",Box,300,150
Ropes & Candles,Roman Candle,Box,450,225
Ropes & Candles,3 Colour Candle,Box,550,275
Ropes & Candles,Selfie Stick,Box,175,90
Ropes & Candles,Candy Crush,Box,450,225
Ropes & Candles,Jil Jil,Box,100,50
Chakkar,Chakkar Big,Box,200,100
Chakkar,Chakkar Special,Box,350,175
Chakkar,Chakkar Deluxe,Box,550,300
Chakkar,Spinner Super Deluxe,Box,1000,500
Chakkar,Disco Wheel,Box,200,100
Chakkar,Rio Wheel (Purple Colour),Box,950,475
Chakkar,Lotus Wheel,Box,550,275
Flower Pots,Flower Pots Big,Box,240,120
Flower Pots,Flower Pots Special,Box,300,150
Flower Pots,Flower Pots Asoka,Box,425,230
Flower Pots,Colour Koti,Box,800,400
Flower Pots,Flower Pots Deluxe (5 Pcs),Box,700,350
Flower Pots,Flower Pots Super Dlx (5 Pcs),Box,350,175
Flower Pots,Colour Koti Deluxe,Box,1400,700
Rockets,Baby Rocket,Box,200,100
Rockets,Rocket Bomb,Box,250,125
Rockets,Lunik Rokcet,Box,550,275
Rockets,2 Sound Rocket,Box,650,325
Rockets,3 Sound Rocket,Box,700,350
Whistles,Siren,Box,650,325
Whistles,Whistling Deluxe Wheel,Box,550,275
Whistles,Whistling Rocket,Box,900,450
Whistles,Zip 25 Whistling Shot,Box,3250,1625
Stones,Electric Stone,Box,50,25
Stones,Zee Boom Baa,Box,50,25
Stones,Magic Pops,Box,50,25
Stones,Kit Kat,Box,100,50
Sky Display,"1"" Chotta Fancy",Box,200,100
Sky Display,"2"" Fancy",Box,400,200
Sky Display,"2"" Fancy (3 Pcs)",Box,1000,500
Sky Display,"3 1/2"" Fancy",Box,1150,575
Sky Display,"4"" Fancy",Box,1300,650
Sky Display,Niagara Falls,Box,1500,750
Sky Display,7 Colors,Box,350,175
Repeating Shots,12 Shot,Box,550,275
Repeating Shots,25 Shot,Box,1000,500
Repeating Shots,30 Shot Multi Colours,Box,1500,750
Repeating Shots,60 Shot Multi Colours,Box,3000,1500
Repeating Shots,120 Shot Multi Colours,Box,6000,3000
Repeating Shots,240 Shot Multi Colours,Box,12000,6000
Fountain Items,Tri Colour Fountain,Box,1000,500
Fountain Items,Fun 'n' Fun Shower,Box,350,175
Fountain Items,Golden Globe,Box,450,225
Fountain Items,Colour Rain,Box,450,225
Fountain Items,Peacock Feather,Box,450,225
Fountain Items,Tin,Box,400,200
Fountain Items,Lollipop,Box,550,275
Fountain Items,Stardom,Box,525,270
Fountain Items,Popcorn,Box,900,450
Fountain Items,Cocktail (5 in 1 Fountain),Box,1000,500
Fountain Items,Peocock Dance,Box,650,325
Fountain Items,Bada Peacock,Box,1550,775
Fountain Items,Butterfly,Box,350,175
Fountain Items,Spinner,Box,500,250
Fountain Items,Helicopter,Box,350,175
Fountain Items,Colour Smoke,Box,750,375
Fountain Items,Water Queen,Box,800,400
Fountain Items,Photo Flash,Box,200,100
Fountain Items,Twix,Box,725,370
Fountain Items,Sing Pop,Box,700,350
Fountain Items,Fox Star,Box,550,275
Fountain Items,Two Colour Fountain,Box,700,350
Fountain Items,Fove Colour Fountain,Box,1400,700
Fountain Items,Snow White Fountain,Box,1400,700
Special Item,90 Watts,Box,450,225
Special Item,Fancy & Fun,Box,700,350
Special Item,Digital Wal Cone,Box,800,400
Special Item,Parachute,Box,250,125
Special Item,Palm Blast,Box,400,200
Special Item,Fire Egg,Box,750,375
Special Item,Bat & Ball,Box,900,450
Kids Special,Money Bank,Box,900,450
Kids Special,Men in Black (Ring & Gun),Box,550,275
Kids Special,Colour Matches Blooms,Box,500,250
Kids Special,Colour Matches Super Dlx,Box,450,225
Kids Special,Laptop Colour Mathces,Box,950,475
Sparklers,7 cm Electric Sparklers,Box,45,25
Sparklers,7 cm Colour Sparklers,Box,50,25
Sparklers,7 cm Green Sparklers,Box,60,30
Sparklers,7 cm Red Sparklers,Box,70,35
Sparklers,10 cm Electric Sparklers,Box,70,35
Sparklers,10 cm Colour Sparklers,Box,75,40
Sparklers,10 cm Green Sparklers,Box,85,45
Sparklers,10 cm Red Sparklers,Box,90,45
Sparklers,12 cm Electric Sparklers,Box,110,55
Sparklers,12 cm Colour Sparklers,Box,125,65
Sparklers,12 cm Green Sparklers,Box,140,70
Sparklers,12 cm Red Sparklers,Box,150,75
Sparklers,15 cm Electric Sparklers,Box,175,90
Sparklers,15 cm Colour Sparklers,Box,175,90
Sparklers,15 cm Green Sparklers,Box,200,100
Sparklers,15 cm Red Sparklers,Box,225,115
Sparklers,15 cm Silver Drops,Box,250,125
Sparklers,30 cm Electric Sparklers,Box,175,90
Sparklers,30 cm Colour Sparklers,Box,175,90
Sparklers,30 cm Green Sparklers,Box,200,100
Sparklers,30 cm Red Sparklers,Box,225,115
Sparklers,50 cm Electric Sparklers,Box,750,375
Sparklers,50 cm Colour Sparklers,Box,800,400
